-605.36;92.76;-605.46;92.22
-608.19;93.20;-608.30;92.65
-611.05;93.63;-611.15;93.09
-613.92;94.07;-614.02;93.53
-616.80;94.52;-616.90;93.97
-619.71;94.96;-619.81;94.41
-622.64;95.41;-622.74;94.85
-625.58;95.86;-625.68;95.30
-628.54;96.31;-628.64;95.75
-631.52;96.77;-631.62;96.21
-634.53;97.23;-634.63;96.67
-637.55;97.69;-637.65;97.13
-640.58;98.16;-640.68;97.59
-643.64;98.63;-643.74;98.05
-646.72;99.10;-646.82;98.52
-649.82;99.57;-649.92;98.99
-652.93;100.05;-653.03;99.47
-656.07;100.53;-656.17;99.95
-659.23;101.02;-659.33;100.43
-662.40;101.50;-662.50;100.91
-665.60;101.99;-665.70;101.40
-668.81;102.49;-668.91;101.89
-672.05;102.98;-672.15;102.38
-675.31;103.48;-675.41;102.88
-678.58;103.98;-678.68;103.38
-681.88;104.49;-681.98;103.88
-685.19;105.00;-685.29;104.38
-688.53;105.51;-688.63;104.89
-691.89;106.02;-691.99;105.40
-695.27;106.54;-695.37;105.92
-698.67;107.06;-698.77;106.44
-702.08;107.58;-702.18;106.96
-705.52;108.11;-705.62;107.48
-708.99;108.64;-709.09;108.01
-712.47;109.18;-712.57;108.54
-715.97;109.71;-716.07;109.07
-719.49;110.25;-719.59;109.61
-723.04;110.80;-723.14;110.15
-726.60;111.34;-726.70;110.69
-730.19;111.89;-730.29;111.24
-733.80;112.44;-733.90;111.79
-737.43;113.00;-737.53;112.34
-741.08;113.56;-741.18;112.90
-744.76;114.12;-744.85;113.46
-748.45;114.69;-748.55;114.02
-752.17;115.26;-752.27;114.58
-755.90;115.83;-756.00;115.15
-759.66;116.41;-759.76;115.73
-763.45;116.99;-763.54;116.30
-767.25;117.57;-767.35;116.88
-771.07;118.16;-771.17;117.46
-774.92;118.75;-775.02;118.05
-778.79;119.34;-778.89;118.64
-782.68;119.93;-782.78;119.23
-786.60;120.53;-786.70;119.83
-790.53;121.14;-790.63;120.43
-794.49;121.74;-794.59;121.03
-798.48;122.35;-798.57;121.64
-802.48;122.97;-802.58;122.25
-806.51;123.59;-806.60;122.86
-810.56;124.21;-810.65;123.48
-814.63;124.83;-814.73;124.10
-818.72;125.46;-818.82;124.72
-822.84;126.09;-822.94;125.35
-826.98;126.72;-827.08;125.98
